ID,Title,Topic,Difficulty,Source,Last Updated,Problem Description,Examples,Approaches Count,Code Solutions,Full Content,Is Processed
41,Delete middle element of a stack,"Stack, Queue & Deque",Unknown,GeeksforGeeks,"12 Apr, 2025","Given a stack withpush(),pop(), andempty()operations, The task is to delete themiddleelementof it without using any additional data structure.","Input: s = [10, 20, 30, 40, 50]Output: [50, 40, 20, 10]Explanation: The bottom-most element will be 10 and the top-most element will be 50. Middle element will be element at index 3 from bottom, which is 30. Deleting 30, stack will look like [10, 20, 40, 50].Input: s = [5, 8, 6, 7, 6, 6, 5, 10, 12, 9]Output: [9, 12, 10, 5, 6, 7, 6, 8, 5]",30,"#include<iostream>#include<stack>#include<vector>usingnamespacestd;voiddeleteMid(stack<int>&st,intsize){// Use a vector to store stack elementsvector<int>v;while(!st.empty()){v.push_back(st.top());st.","Given a stack withpush(),pop(), andempty()operations, The task is to delete themiddleelementof it without using any additional data structure.  Input: s = [10, 20, 30, 40, 50]Output: [50, 40, 20, 10]Explanation: The bottom-most element will be 10 and the top-most element will be 50. Middle element will be element at index 3 from bottom, which is 30. Deleting 30, stack will look like [10, 20, 40, 50].Input: s = [5, 8, 6, 7, 6, 6, 5, 10, 12, 9]Output: [9, 12, 10, 5, 6, 7, 6, 8, 5]  Input: s = [10, 20, 30, 40, 50]Output: [50, 40, 20, 10]Explanation: The bottom-most element will be 10 and the top-most element will be 50. Middle element will be element at index 3 from bottom, which is 30. Deleting 30, stack will look like [10, 20, 40, 50].  Input: s = [5, 8, 6, 7, 6, 6, 5, 10, 12, 9]Output: [9, 12, 10, 5, 6, 7, 6, 8, 5]  Table of Content  Approach - Using Vector - O(n) Time and O(n) Space  [Expected Approach 1] - Using Recursion - O(n) Time and O(n) Space  [Expected Approach 2] - Using Stac",False
42,Longest Valid Parentheses Substring,"Stack, Queue & Deque",Unknown,GeeksforGeeks,"04 Sep, 2025","Given a stringsconsisting of opening and closing parenthesis '(' and ')', find the length of the longest valid parenthesis substring.Avalid parenthesissubstring is one where every opening bracket '(' has a corresponding closing bracket ')' in the correct order.","Input: s = ""())""Output: 2Explanation: The longest valid parentheses substring is ""()"".Input: s = ""(()())""Output: 6Explanation: The entire string""(()())""is a valid parentheses substring of length 6.",32,#include<iostream>#include<stack>usingnamespacestd;intmaxLength(string&s){stack<int>st;// Push -1 as the initial index to// handle the edge casest.push(-1);intmaxLen=0;for(inti=0;i<s.length();i++){// ,"Given a stringsconsisting of opening and closing parenthesis '(' and ')', find the length of the longest valid parenthesis substring.Avalid parenthesissubstring is one where every opening bracket '(' has a corresponding closing bracket ')' in the correct order.  Input: s = ""())""Output: 2Explanation: The longest valid parentheses substring is ""()"".Input: s = ""(()())""Output: 6Explanation: The entire string""(()())""is a valid parentheses substring of length 6.  Input: s = ""())""Output: 2Explanation: The longest valid parentheses substring is ""()"".  Input: s = ""(()())""Output: 6Explanation: The entire string""(()())""is a valid parentheses substring of length 6.  Table of Content  [Expected Approach - 1] Using Stack - O(n) Time and O(n) Space  [Expected Approach - 2] Using Dynamic Programming- O(n) Time and O(n) Space  [Expected Approach - 3] Using Two Traversals - O(n) Time and O(1) Space  [Expected Approach - 1] Using Stack - O(n) Time and O(n) Space  We use a stack to track indices of unmatc",False
43,Sum of Max of Subarrays,"Stack, Queue & Deque",Unknown,GeeksforGeeks,"21 Feb, 2025","Given an arrayarr[], the task is to find the sum of the maximumelementsof every possible non-empty sub-arrays of the given arrayarr[].","Input:arr[] = [1, 3, 2]Output:15Explanation:All possible non-empty subarrays of [1, 3, 2] are {1}, {3}, {2}, {1, 3}, {3, 2} and {1, 3, 2}. The maximum elements of the subarrays are 1, 3, 2, 3, 3, 3 respectively. The sum will be 15.Input:arr[] = [3, 1]Output:7Explanation:All possible non-empty subarrays of [3, 1] are {3}, {1} and {3, 1}. The maximum elements of the subarrays are 3, 1, 3 respectively. The sum will be 7.Input:arr[] = [8, 0, 1]Output:26Explanation:All possible non-empty subarrays of",22,// C++ implementation to find sum of max// of subarrays by generating all subarrays#include<bits/stdc++.h>usingnamespacestd;intsumOfMax(vector<int>&arr){intn=arr.size();intres=0;// Pick starting point,"Given an arrayarr[], the task is to find the sum of the maximumelementsof every possible non-empty sub-arrays of the given arrayarr[].  Input:arr[] = [1, 3, 2]Output:15Explanation:All possible non-empty subarrays of [1, 3, 2] are {1}, {3}, {2}, {1, 3}, {3, 2} and {1, 3, 2}. The maximum elements of the subarrays are 1, 3, 2, 3, 3, 3 respectively. The sum will be 15.Input:arr[] = [3, 1]Output:7Explanation:All possible non-empty subarrays of [3, 1] are {3}, {1} and {3, 1}. The maximum elements of the subarrays are 3, 1, 3 respectively. The sum will be 7.Input:arr[] = [8, 0, 1]Output:26Explanation:All possible non-empty subarrays of [8, 0, 1] are {8}, {0}, {1}, {8, 0}, {0, 1} and {8, 0, 1}. The maximum elements of the subarrays are 8, 0, 1, 8, 1, 8 respectively. The sum will be 26.  Input:arr[] = [1, 3, 2]Output:15Explanation:All possible non-empty subarrays of [1, 3, 2] are {1}, {3}, {2}, {1, 3}, {3, 2} and {1, 3, 2}. The maximum elements of the subarrays are 1, 3, 2, 3, 3, 3 respectively",False
44,Next greater element in a Circular Array,"Stack, Queue & Deque",Unknown,GeeksforGeeks,"05 Sep, 2025","Given a circular arrayarr[], find thenext greater elementfor each element in the array.Note:The next greater element of an element is the first next element greater than it when traversing the array in order (circularly). If no such element exists, return -1 for that position.","Input:arr[] = [5, 7, 1, 2, 6]Output: [7, -1, 2, 6, 7]Explanation:Next greater element for 5 is 7.For 7, no greater element exists, so it is -1.For 1, the next greater element is 2.For 2, the next greater element is 6.For 6, the next greater element is 7 (circularly).Input: arr[] = [6, 8, 0, 1, 3]Output: [8, -1, 1, 3, 6]Explanation: In the array, the next larger element to 6 is 8, for 8 there is no larger elements hence it is -1, for 0 it is 1, for 1 it is 3 and then for 3 there is 6.",20,"#include<iostream>#include<vector>usingnamespacestd;vector<int>nextGreater(vector<int>&arr){intn=arr.size();vector<int>res(n,-1);for(inti=0;i<n;i++){for(intj=1;j<n;j++){// Checking for next greater el","Given a circular arrayarr[], find thenext greater elementfor each element in the array.Note:The next greater element of an element is the first next element greater than it when traversing the array in order (circularly). If no such element exists, return -1 for that position.  Input:arr[] = [5, 7, 1, 2, 6]Output: [7, -1, 2, 6, 7]Explanation:Next greater element for 5 is 7.For 7, no greater element exists, so it is -1.For 1, the next greater element is 2.For 2, the next greater element is 6.For 6, the next greater element is 7 (circularly).Input: arr[] = [6, 8, 0, 1, 3]Output: [8, -1, 1, 3, 6]Explanation: In the array, the next larger element to 6 is 8, for 8 there is no larger elements hence it is -1, for 0 it is 1, for 1 it is 3 and then for 3 there is 6.  Input:arr[] = [5, 7, 1, 2, 6]Output: [7, -1, 2, 6, 7]Explanation:Next greater element for 5 is 7.For 7, no greater element exists, so it is -1.For 1, the next greater element is 2.For 2, the next greater element is 6.For 6, the nex",False
45,Longest subarray with absolute difference between any pair at most X,"Stack, Queue & Deque",Unknown,GeeksforGeeks,"22 Sep, 2025","Given an integer arrayarr[]and an integerx, Find the longest sub-array where the absolute difference between any two elements is not greater thanx.","Input:arr[] = [8, 4, 5, 6, 7], x = 3Output:[4, 5, 6, 7]Explanation:The longest valid subarray is [4, 5, 6, 7] because max = 7, min = 4 → difference = 3 which is less than equal to x.Input:arr[] = [1, 10, 12, 13, 14], x = 2Output:[12, 13, 14]Explanation:The longest valid subarray is[12, 13, 14]because max = 14, min = 12 → difference = 2 which is less than equal to x.",30,"#include<iostream>#include<vector>#include<climits>usingnamespacestd;vector<int>longestSubarray(vector<int>&arr,intx){intn=arr.size();intstart=0,maxLen=1;for(inti=0;i<n;i++){for(intj=i;j<n;j++){// Fin","Given an integer arrayarr[]and an integerx, Find the longest sub-array where the absolute difference between any two elements is not greater thanx.  Input:arr[] = [8, 4, 5, 6, 7], x = 3Output:[4, 5, 6, 7]Explanation:The longest valid subarray is [4, 5, 6, 7] because max = 7, min = 4 → difference = 3 which is less than equal to x.Input:arr[] = [1, 10, 12, 13, 14], x = 2Output:[12, 13, 14]Explanation:The longest valid subarray is[12, 13, 14]because max = 14, min = 12 → difference = 2 which is less than equal to x.  Input:arr[] = [8, 4, 5, 6, 7], x = 3Output:[4, 5, 6, 7]Explanation:The longest valid subarray is [4, 5, 6, 7] because max = 7, min = 4 → difference = 3 which is less than equal to x.  Input:arr[] = [1, 10, 12, 13, 14], x = 2Output:[12, 13, 14]Explanation:The longest valid subarray is[12, 13, 14]because max = 14, min = 12 → difference = 2 which is less than equal to x.  Table of Content  [Naive Approach] Checking all subarrays - O(n^3) Time and O(1) Space  [Better Approach] Usi",False
46,Sliding Window Maximum (Maximum of all subarrays of size K),"Stack, Queue & Deque",Unknown,GeeksforGeeks,"13 Aug, 2025","Given an arrayarr[]of integers and an integerk, your task is to find the maximum value for each contiguous subarray of sizek. The output should be an array of maximum values corresponding to each contiguous subarray.","Input:arr[] = [1, 2, 3, 1, 4, 5, 2, 3, 6], k = 3Output:[3, 3, 4, 5, 5, 5, 6]Explanation:1st contiguous subarray = [1 2 3] max = 32nd contiguous subarray = [2 3 1] max = 33rd contiguous subarray = [3 1 4] max = 44th contiguous subarray = [1 4 5] max = 55th contiguous subarray = [4 5 2] max = 56th contiguous subarray = [5 2 3] max = 57th contiguous subarray = [2 3 6] max = 6Input:arr[] = [5, 1, 3, 4, 2, 6], k = 1Output:[5, 1, 3, 4, 2, 6]Explanation:When k = 1, each element in the array is its own ",30,"#include<iostream>#include<vector>usingnamespacestd;// Method to find the maximum for each// and every contiguous subarray of size k.vector<int>maxOfSubarrays(vector<int>&arr,intk){intn=arr.size();// ","Given an arrayarr[]of integers and an integerk, your task is to find the maximum value for each contiguous subarray of sizek. The output should be an array of maximum values corresponding to each contiguous subarray.  Input:arr[] = [1, 2, 3, 1, 4, 5, 2, 3, 6], k = 3Output:[3, 3, 4, 5, 5, 5, 6]Explanation:1st contiguous subarray = [1 2 3] max = 32nd contiguous subarray = [2 3 1] max = 33rd contiguous subarray = [3 1 4] max = 44th contiguous subarray = [1 4 5] max = 55th contiguous subarray = [4 5 2] max = 56th contiguous subarray = [5 2 3] max = 57th contiguous subarray = [2 3 6] max = 6Input:arr[] = [5, 1, 3, 4, 2, 6], k = 1Output:[5, 1, 3, 4, 2, 6]Explanation:When k = 1, each element in the array is its own subarray, so the output is simply the same array.Input:arr[] = [1, 3, 2, 1, 7, 3], k = 3Output:[3, 3, 7, 7]  Input:arr[] = [1, 2, 3, 1, 4, 5, 2, 3, 6], k = 3Output:[3, 3, 4, 5, 5, 5, 6]Explanation:1st contiguous subarray = [1 2 3] max = 32nd contiguous subarray = [2 3 1] max = 33rd",False
47,Stack Coding Problems for SDE Interviews,"Stack, Queue & Deque",Unknown,GeeksforGeeks,"21 Sep, 2025","AStackis a linear data structure in which the insertion of a new element and removal of an existing element takes place at the same end, represented as the top of the stack. To learn about Stack Data Structure in detail, please refer to theTutorial on Stack Data Structure.",,0,,"AStackis a linear data structure in which the insertion of a new element and removal of an existing element takes place at the same end, represented as the top of the stack. To learn about Stack Data Structure in detail, please refer to theTutorial on Stack Data Structure.  Easy Problems  Parenthesis Checker  Reverse a String using Stack  Postfix to Prefix  Two stacks in an array  Delete Middle element from stack  Reverse individual words  Medium Problems  Queue using Stacks  Stack using Queues  Stack using single queue  Evaluate Postfix Expression  Next Greater Element  Nearest Smaller Element  Next Smaller of next Greater  Sort a stack using a temporary stack  Stock Span Problem  Reverse a Stack using recursion  Infix to Postfix  Delete consecutive same words  A Stack with getMin() in O(1) Time  Count of Subarrays with first as minimum  Length of the longest valid substring  Index of closing bracket  Next Greater Frequency Element  Max Diff between nearest smallers  Max product of in",False
48,Queue Coding Questions for SDE Interviews,"Stack, Queue & Deque",Unknown,GeeksforGeeks,"21 Sep, 2025","AQueueis defined as a linear data structure that is open at both ends and the operations are performed inFirst In First Out (FIFO)order. The element which is first pushed into the order, the operation is first performed on that.",,0,,"AQueueis defined as a linear data structure that is open at both ends and the operations are performed inFirst In First Out (FIFO)order. The element which is first pushed into the order, the operation is first performed on that.  Easy Problems  Circular Array Implementation  Linked List Implementation  Medium & Hard Problems  Flipping Bits with K-Window  Interleave the first and second halves  Check if a queue can be sorted  Generate Binary Numbers  Implement Stack using Queues  Implement Stack using Two Queues  Implement Queue using Two Stacks  Implement a Queue using a Stack  Reverse a queue using recursion  Minimum steps to reach target by a Knight  First negative integer in every window of size k  Minimum time required to rot all oranges  Shortest safe route in a path with landmines  First circular tour that visits all petrol pumps  Reverse First k of Queue  First non-repeating in a Stream  Snake and Ladder Problem  Minimum Cost Path via given intermediates  Related Links:  DSA Tut",False
49,Deque Interview Questions for SDE Interviews,"Stack, Queue & Deque",Unknown,GeeksforGeeks,"22 Sep, 2025","ADeque(Double-Ended Queue) is a flexible data structure that supports insertion and deletion from both ends in O(1) time. In SDE interviews, deques are frequently tested in problems involving efficient subarray computations, maintaining order constraints, and implementing caching mechanisms.",,0,,"ADeque(Double-Ended Queue) is a flexible data structure that supports insertion and deletion from both ends in O(1) time. In SDE interviews, deques are frequently tested in problems involving efficient subarray computations, maintaining order constraints, and implementing caching mechanisms.  Circular Array Implementation of Deque  Implementation of Deque using doubly linked list  Stack and Queue Implementation using Deque  Reverse First K Elements of a Queue  First Negative in Every Window of Size K  Maximum of all subarrays of size K  Sum of Min & Max in All Subarrays of Size K  Maximum score possible  Longest subarray with at most k difference  Longest Subarray with Max Pair Difference ≤ X  Minimize the Max difference between adjacent  Bitonic Sequence from a given range  Queue with Minimum",False
50,Maximum Depth or Height of a Binary Tree,Tree,Unknown,GeeksforGeeks,"07 Oct, 2025","Given therootof abinary tree, find themaximum depthof the tree.The maximum depth or height of the tree is thenumber of edgesin the tree from the root to the deepest node.",Input:Output:2Explanation:The longest path from the root node to deepest node has 2 edges.Input:Output:3Explanation:The longest path from the root (node 1) to deepest leaf (node 6) has 3 edges.,25,"1 + max(leftHeight, rightHeight)","Given therootof abinary tree, find themaximum depthof the tree.The maximum depth or height of the tree is thenumber of edgesin the tree from the root to the deepest node.  Input:Output:2Explanation:The longest path from the root node to deepest node has 2 edges.Input:Output:3Explanation:The longest path from the root (node 1) to deepest leaf (node 6) has 3 edges.  Output:2Explanation:The longest path from the root node to deepest node has 2 edges.  Output:3Explanation:The longest path from the root (node 1) to deepest leaf (node 6) has 3 edges.  Table of Content  [Approach 1] Using Recursion  [Approach 2] Level Order Traversal- O(n)  Time and O(n) Space  [Approach 1] Using Recursion  The idea is to recursively compute the height of the left and right subtrees for each node. The height of the current node is then calculated by1 + max(leftHeight, rightHeight). The recursion bottoms out when we reach to a null node, which contributes a height of 0.  The idea is to recursively compute the ",False
51,Check if two trees are Mirror,Tree,Unknown,GeeksforGeeks,"23 Jul, 2025","Given twoBinary Trees, the task is to check if two trees aremirrorof each other or not. For two trees ‘a’ and ‘b’ to be mirror images, the following three conditions must be true:","Input:Output:TrueExplanation:Both trees are mirror images of each other, so output is TrueInput:Output:FalseExplanation:Since both trees are not mirror images of each other, the output is False.",12,"// Recursive C++ program to check if two// roots are mirror of each other#include<iostream>usingnamespacestd;classNode{public:intdata;Node*left,*right;Node(intval){data=val;left=right=nullptr;}};// Fu","Given twoBinary Trees, the task is to check if two trees aremirrorof each other or not. For two trees ‘a’ and ‘b’ to be mirror images, the following three conditions must be true:  Their root node’s key must be same  Left subtree of root of ‘a’ and right subtree root of ‘b’ are mirror.  Right subtree of ‘a’ and left subtree of ‘b’ are mirror.  Input:Output:TrueExplanation:Both trees are mirror images of each other, so output is TrueInput:Output:FalseExplanation:Since both trees are not mirror images of each other, the output is False.  Output:TrueExplanation:Both trees are mirror images of each other, so output is True  Output:FalseExplanation:Since both trees are not mirror images of each other, the output is False.  Table of Content  [Expected Approach - 1] Recursive Approach - O(n) Time and O(h) Space  [Expected Approach - 2] Iterative Approach - O(n) Time and O(n) Space  [Expected Approach - 1] Recursive Approach - O(n) Time and O(h) Space  The idea is to check if twobinary treesar",False
52,Flip Binary Tree,Tree,Unknown,GeeksforGeeks,"23 Oct, 2024","Given abinary tree,the task is toflipthe binary tree towards theright direction that isclockwise.","Input:Output:Explanation:In the flip operation, the leftmost node becomes the root of the flipped tree and its parent becomes its right child and the right sibling becomes its left child and the same should be done for all leftmost nodes recursively.",20,"// C++ program to flip a binary tree// using recursion#include<bits/stdc++.h>usingnamespacestd;classNode{public:intdata;Node*left,*right;Node(intx){data=x;left=right=nullptr;}};// method to flip the b","Given abinary tree,the task is toflipthe binary tree towards theright direction that isclockwise.  Input:Output:Explanation:In the flip operation, the leftmost node becomes the root of the flipped tree and its parent becomes its right child and the right sibling becomes its left child and the same should be done for all leftmost nodes recursively.  Explanation:In the flip operation, the leftmost node becomes the root of the flipped tree and its parent becomes its right child and the right sibling becomes its left child and the same should be done for all leftmost nodes recursively.  Table of Content  [Expected Approach - 1] Using Recursion - O(n) Time and O(n) Space  [Expected Approach - 2] Iterative Approach - O(n) Time and O(1) Space  [Expected Approach - 1] Using Recursion - O(n) Time and O(n) Space  The idea is torecursivelyflip the binary tree by swapping theleftandrightsubtrees of each node. After flipping, the tree's structure will be reversed, and the new root of theflipped tre",False
53,Maximum Path Sum in a Binary Tree,Tree,Unknown,GeeksforGeeks,"07 Oct, 2025","Given therootof the binary tree, Find themaximum path sum. The path may start and end at any node in the tree.",Input:Output:42Explanation:Max path sum is represented using green color nodes in the above binary tree.Input:Output:31Explanation:Max path sum is represented using green color nodes in the above binary tree.,10,"#include<iostream>usingnamespacestd;classNode{public:intdata;Node*left,*right;// Constructor to initialize a new nodeNode(intvalue){data=value;left=nullptr;right=nullptr;}};// Returns the maximum path","Given therootof the binary tree, Find themaximum path sum. The path may start and end at any node in the tree.  Input:Output:42Explanation:Max path sum is represented using green color nodes in the above binary tree.Input:Output:31Explanation:Max path sum is represented using green color nodes in the above binary tree.  Output:42Explanation:Max path sum is represented using green color nodes in the above binary tree.  Output:31Explanation:Max path sum is represented using green color nodes in the above binary tree.  [Approach]Using Recursion - O(n) Time and O(h) Recursive Space  The idea is to usepostordertraversal. At each node, calculate left and right path sums, and update a global maximum with (left + node + right). Return the node’s value plus the larger side upward. The global maximum at the end gives the answer.  The idea is to usepostordertraversal. At each node, calculate left and right path sums, and update a global maximum with (left + node + right). Return the node’s value ",False
54,Level Order Traversal (Breadth First Search) of Binary Tree,Tree,Unknown,GeeksforGeeks,"08 Dec, 2025",Level Order Traversal technique is a method to traverse a Tree such that all nodes present in the same level are traversed completely before traversing the next level.,"Input:Output:[[5], [12, 13], [7, 14, 2], [17, 23, 27, 3, 8, 11]]Explanation:Start with the root - [5]Level 1: [12, 13]Level 2: [7, 14, 2]Level 3: [17, 23, 27, 3, 8, 11]",22,"#include<iostream>#include<vector>usingnamespacestd;classNode{public:intdata;Node*left,*right;// Constructor to initialize a new nodeNode(intvalue){data=value;left=nullptr;right=nullptr;}};voidlevelOr","Level Order Traversal technique is a method to traverse a Tree such that all nodes present in the same level are traversed completely before traversing the next level.  Input:Output:[[5], [12, 13], [7, 14, 2], [17, 23, 27, 3, 8, 11]]Explanation:Start with the root - [5]Level 1: [12, 13]Level 2: [7, 14, 2]Level 3: [17, 23, 27, 3, 8, 11]  Output:[[5], [12, 13], [7, 14, 2], [17, 23, 27, 3, 8, 11]]Explanation:Start with the root - [5]Level 1: [12, 13]Level 2: [7, 14, 2]Level 3: [17, 23, 27, 3, 8, 11]  Table of Content  [Approach] Using Recursion - O(n) time and O(n) space  [Expected Approach] Using Queue (Iterative) - O(n) time and O(n) space  [Approach] Using Recursion - O(n) time and O(n) space  The idea is to traverse the tree recursively, starting from the root at level 0. When a node is visited, its value is added to the result array at the index corresponding to its level, and then its left and right children are recursively processed in the same way. This effectively performs a leve",False
55,Check if a Binary Tree is subtree of another binary tree | Set 1,Tree,Unknown,GeeksforGeeks,"23 Jul, 2025","Giventwobinary trees, check if the first tree is asubtreeof the second one. A subtree of a treeT(root1)is a treeS(root2)consisting of a node inTand all of its descendants inT. The subtree corresponding to the root node is theentire treeand the subtree corresponding to any other node is called aproper subtree.",Input:Output:TrueExplanation:root2 is the subtree of root1.,12,// C++ Program to Check if a Binary Tree is subtree// of another binary tree#include<bits/stdc++.h>usingnamespacestd;classNode{public:intdata;Node*left;Node*right;Node(intvalue){data=value;left=nullpt,"Giventwobinary trees, check if the first tree is asubtreeof the second one. A subtree of a treeT(root1)is a treeS(root2)consisting of a node inTand all of its descendants inT. The subtree corresponding to the root node is theentire treeand the subtree corresponding to any other node is called aproper subtree.  Input:Output:TrueExplanation:root2 is the subtree of root1.  Output:TrueExplanation:root2 is the subtree of root1.  The idea behind the Naive approach is to check atevery nodeof themain treewhether a subtree matches the given subtree.  The idea behind the Naive approach is to check atevery nodeof themain treewhether a subtree matches the given subtree.  Follow the steps below to solve the problem:  Traverse the tree with root asroot1inpreordermanner.  For everyvisitednode in the traversal, check if thesubtreerooted at this node isidenticalto tree with root asroot2.  To check if thesubtreeis identical, traverseboth treessimultaneously.  If avisitednode's value is not equal to thec",False
56,Check if a Binary Tree is BST or not,Tree,Unknown,GeeksforGeeks,"11 Oct, 2025","Given therootof a binary tree, determine whether it is aBinary Search Tree(BST).","Input:Output: falseExplanation:In the right subtree of 10, all the values must be greater than 10, but 9 < 10.Input:Output: trueExplanation:Every node follows the property of BST.",36,//Driver Code Starts#include<iostream>#include<climits>usingnamespacestd;// Node structureclassNode{public:intdata;Node*left;Node*right;Node(intvalue){data=value;left=right=nullptr;}};//Driver Code En,"Given therootof a binary tree, determine whether it is aBinary Search Tree(BST).  A Binary Search Tree is a binary tree that satisfies the following conditions:  All nodes in the left subtree have values smaller than the root.  All nodes in the right subtree have values greater than the      root.  Both left and right subtrees are themselves BSTs.  All node values are distinct.  Input:Output: falseExplanation:In the right subtree of 10, all the values must be greater than 10, but 9 < 10.Input:Output: trueExplanation:Every node follows the property of BST.  Output: falseExplanation:In the right subtree of 10, all the values must be greater than 10, but 9 < 10.  Output: trueExplanation:Every node follows the property of BST.  Table of Content  [Approach - 1] Using specified range of Min and Max Values  [Approach - 2] Using Inorder Traversal  [Approach - 3] Using Morris Traversal - O(n) Time and O(1) Space  [Approach - 1] Using Specified range of Min and Max Values  The idea is to validat",False
57,k-th Smallest in BST,Tree,Unknown,GeeksforGeeks,"09 Dec, 2025","Given therootof aBinary Search Tree (BST) and a positive integerk, find thekthsmallest element in the Binary Search Tree.","Input:k = 3Output:10Explanation:The inorder traversal of given BST is [4, 8, 10, 12, 14, 20, 22] and its 3rd smallest element is 10.",24,//Driver Code Starts#include<iostream>usingnamespacestd;// Node StructureclassNode{public:intdata;Node*left;Node*right;Node(intx){data=x;left=nullptr;right=nullptr;}};//Driver Code Ends// Recursive fu,"Given therootof aBinary Search Tree (BST) and a positive integerk, find thekthsmallest element in the Binary Search Tree.  Input:k = 3Output:10Explanation:The inorder traversal of given BST is [4, 8, 10, 12, 14, 20, 22] and its 3rd smallest element is 10.  Input:k = 3  Output:10Explanation:The inorder traversal of given BST is [4, 8, 10, 12, 14, 20, 22] and its 3rd smallest element is 10.  Table of Content  [Expected Approach] Using In-Order traversal - O(k) Time and O(h) Space  [Expected  Approach] Using Morris Inorder Traversal - O(n) Time and O(1) Space  [Expected Approach] Using In-Order traversal - O(k) Time and O(h) Space  The idea is to traverse the binary search tree usingin-order traversalwhile maintaining the count of nodes traversed. If the node count becomes equal to k, then return the node.  The idea is to traverse the binary search tree usingin-order traversalwhile maintaining the count of nodes traversed. If the node count becomes equal to k, then return the node.  [Expe",False
58,Lowest Common Ancestor in a Binary Search Tree,Tree,Unknown,GeeksforGeeks,"11 Oct, 2025","Given therootof a Binary Search Tree and two noden1andn2, find theLowest Common Ancestor (LCA).LCA is the deepest node that has both n1 and n2 as descendants.","Input:n1.data = 4, n2.data = 14Output:8Explanation:8 is the lowest common ancestor (LCA) of nodes 4 and 14, as it is the deepest node that is an ancestor of both.Input:n1.data = 10, n2.data = 14Output:12Explanation:12 is the lowest common ancestor (LCA) of nodes 10 and 14, as it is the deepest node that is an ancestor of both.",24,"//Driver Code Starts#include<iostream>usingnamespacestd;// Node structureclassNode{public:intdata;Node*left;Node*right;Node(intval){data=val;left=right=nullptr;}};//Driver Code EndsNode*LCA(Node*root,","Given therootof a Binary Search Tree and two noden1andn2, find theLowest Common Ancestor (LCA).LCA is the deepest node that has both n1 and n2 as descendants.  Note:Both node are always present in the Binary Search Tree.  Input:n1.data = 4, n2.data = 14Output:8Explanation:8 is the lowest common ancestor (LCA) of nodes 4 and 14, as it is the deepest node that is an ancestor of both.Input:n1.data = 10, n2.data = 14Output:12Explanation:12 is the lowest common ancestor (LCA) of nodes 10 and 14, as it is the deepest node that is an ancestor of both.  Input:n1.data = 4, n2.data = 14  Output:8Explanation:8 is the lowest common ancestor (LCA) of nodes 4 and 14, as it is the deepest node that is an ancestor of both.  Input:n1.data = 10, n2.data = 14  Output:12Explanation:12 is the lowest common ancestor (LCA) of nodes 10 and 14, as it is the deepest node that is an ancestor of both.  Table of Content  [Naive Approach] LCA by Normal Binary Tree Methods - O(n) Time and O(n) Space  [Better Approac",False
59,Trie Data Structure,Tree,Unknown,GeeksforGeeks,"01 Sep, 2025","The Triedata structureis used to store a set of keys represented as strings. It allows for efficientretrievalandstorageof keys, making it highly effective in handling large datasets. Trie supports operations such asinsertion,search,deletionof keys, andprefixsearches.","Insert Operation in Trie Data StructureInserting ""and"" in Trie data structure:Start at the root node:The root node has no character associated with it and itswordEndvalue is0, indicating no complete word ends at this point.First character ""a"":Calculate the index using 'a' - 'a' = 0. Check if thechild[0]isnull. Since it is, create a new TrieNode with the character ""a"",wordEndset to0, and an empty array of pointers. Move to this new node.Second character ""n"":Calculate the index using'n' - 'a' = 13",57,classTrieNode{public:// pointer array for child nodes of each nodeTrieNode*children[26];// Used for indicating ending of stringboolisLeaf;TrieNode(){// initialize the wordEnd variable with false// ini,"The Triedata structureis used to store a set of keys represented as strings. It allows for efficientretrievalandstorageof keys, making it highly effective in handling large datasets. Trie supports operations such asinsertion,search,deletionof keys, andprefixsearches.  Representation of Trie Node  Trie data structureconsists of nodes connected by edges.  Each node represents a character or a part of a string.  The root node acts as a starting point and does not store any character.  Insertion in Trie Data Structure - O(n) Time and O(n) Space  Insert Operation in Trie Data StructureInserting ""and"" in Trie data structure:Start at the root node:The root node has no character associated with it and itswordEndvalue is0, indicating no complete word ends at this point.First character ""a"":Calculate the index using 'a' - 'a' = 0. Check if thechild[0]isnull. Since it is, create a new TrieNode with the character ""a"",wordEndset to0, and an empty array of pointers. Move to this new node.Second chara",False
